image_id,label_id
75,20 44 66 117 137 154 171 180 184 
76,15 66 98 111 137 176 189 
77,17 66 100 111 137 176 222 227 
78,17 53 106 111 153 164 190 
79,17 32 44 66 105 184 222 
80,20 62 66 70 111 137 171 175 184 214 222 
81,19 66 131 137 171 175 184 214 
82,17 20 62 66 98 105 153 166 184 222 
83,15 66 135 137 176 
84,49 53 106 138 153 164 190 222 
85,17 19 53 78 88 105 106 141 153 222 
86,17 66 70 98 111 131 142 148 222 226 
87,14 17 51 66 171 211 
88,17 66 98 103 171 175 214 
89,49 53 91 105 106 
90,97 105 106 141 205 
91,17 52 66 87 164 171 178 
92,17 49 53 105 106 153 
93,17 62 66 98 133 153 171 184 
94,17 49 66 91 99 105 131 
95,62 66 70 98 153 171 184 222 
96,32 78 105 106 
97,19 52 66 132 133 164 181 213 222 
98,36 49 62 66 105 111 148 153 184 
99,17 66 98 103 110 114 171 175 214 222 
100,17 49 91 99 105 106 111 143 
101,66 98 150 180 186 203 220 222 
102,17 53 88 105 153 
103,15 66 111 137 176 
104,17 18 49 53 61 66 105 148 222 
105,17 49 53 61 105 106 222 
106,49 53 66 106 153 164 184 190 222 
107,7 18 66 87 164 184 222 
108,20 62 66 111 137 153 171 176 184 210 
109,17 66 78 100 216 
110,17 53 78 88 105 106 205 
111,17 49 53 91 105 106 111 205 
112,53 106 111 137 153 164 190 
113,66 98 119 
114,52 66 111 164 171 
115,17 66 99 100 148 222 
116,17 32 66 78 97 105 224 
117,17 20 62 66 137 155 164 171 180 184 222 
118,18 44 49 66 140 153 164 184 
119,17 20 66 128 137 164 171 
120,15 66 135 137 176 
121,56 66 111 137 171 175 176 184 193 210 222 
122,17 53 78 105 106 214 
123,18 53 66 138 153 164 181 184 190 222 
124,17 66 98 99 100 
125,17 36 62 66 111 137 171 175 184 214 
126,17 66 70 111 133 137 170 184 222 
127,17 20 47 62 66 105 137 148 153 176 
128,19 49 59 66 91 105 
129,53 66 111 
130,17 49 53 78 105 106 205 
131,37 53 66 222 226 
132,53 66 79 137 153 164 190 
133,17 20 62 66 98 137 153 164 171 184 226 
134,17 53 66 105 148 205 
135,17 53 88 105 106 137 138 153 
136,52 66 105 131 184 
137,17 20 62 66 137 153 171 184 
138,17 66 97 105 141 153 222 
139,19 66 98 119 
140,17 53 78 81 106 
141,18 49 53 66 105 222 
142,17 66 115 137 176 189 222 
143,17 49 53 78 106 153 164 190 222 
144,17 49 53 66 101 105 137 183 214 222 
145,17 66 97 171 205 222 
146,66 73 172 
147,44 62 66 70 111 137 171 175 184 222 
148,66 137 138 144 171 176 193 
149,17 18 44 66 105 184 214 222 
150,44 66 70 111 131 171 184 222 
151,17 53 66 78 81 106 
152,17 49 53 105 106 111 126 183 214 
153,66 75 97 105 111 153 181 
154,49 66 105 126 132 224 
155,53 106 111 153 171 193 217 
156,17 19 53 66 164 171 184 222 
157,20 66 101 153 171 184 
158,40 59 66 133 151 165 
159,19 53 78 88 105 106 205 222 
160,7 19 59 66 137 171 175 184 214 
161,17 66 148 197 212 
162,52 66 164 
163,17 19 53 59 66 100 
164,17 49 66 105 117 224 226 
165,18 19 44 49 66 98 105 205 
166,17 75 97 105 106 141 153 
167,53 105 106 153 
168,17 66 105 126 148 200 224 
169,14 17 66 91 98 105 222 
170,66 88 101 105 137 138 153 
171,66 100 111 137 138 176 
172,17 66 87 99 179 
173,17 18 44 66 105 148 214 222 
174,44 53 62 66 105 153 164 184 222 
175,17 53 66 153 164 184 190 222 
176,49 66 105 126 131 200 224 
177,19 66 74 100 137 138 176 
178,36 44 62 66 70 98 118 153 164 171 184 222 
179,7 17 53 66 78 148 171 175 184 193 210 222 
180,19 49 105 106 183 
181,26 28 49 53 79 91 105 106 
182,15 17 66 79 111 115 131 137 148 176 189 226 
183,17 66 95 142 171 184 
184,44 66 71 148 150 154 171 186 
185,19 62 66 105 133 148 216 
186,66 99 
187,15 66 101 111 115 137 176 
188,15 66 111 115 137 176 
189,17 49 53 78 105 106 214 222 
190,18 19 44 66 153 164 171 184 
191,17 53 66 138 171 193 210 
192,17 53 66 105 153 164 184 222 
193,2 17 20 53 62 66 105 137 153 164 184 
194,17 78 88 105 106 111 205 
195,17 53 78 88 105 106 205 
196,17 20 62 66 131 137 154 171 184 214 
197,17 53 106 153 164 190 
198,62 66 111 137 153 171 184 
199,49 53 78 94 105 106 
200,53 66 101 105 137 138 153 
201,17 58 66 103 148 159 171 175 
202,17 19 20 47 66 137 148 154 171 214 
203,62 66 111 137 171 176 184 210 
204,10 15 17 66 72 137 176 
205,51 66 111 148 158 180 186 
206,97 105 106 141 153 181 
207,19 49 53 61 105 106 130 181 
208,18 44 66 98 105 128 153 222 
209,4 17 53 66 78 105 
210,15 66 111 115 137 176 
211,20 53 62 66 137 153 171 184 222 
212,19 66 105 164 184 222 
213,17 62 66 133 137 171 175 184 214 
214,19 40 59 66 151 165 184 
215,17 66 87 98 171 212 
216,15 66 115 135 137 176 
217,17 49 53 105 106 148 164 222 
218,18 53 66 105 135 137 153 164 184 222 
219,17 66 88 105 137 138 153 
220,11 17 18 53 66 101 153 164 184 190 
221,53 66 91 105 153 222 
222,19 59 66 151 169 
223,17 19 20 62 66 77 105 153 
224,17 35 66 100 216 
225,66 88 105 137 138 153 
226,53 66 97 105 141 153 
227,19 49 53 61 105 106 130 181 
228,17 32 44 55 66 97 98 105 184 222 
229,17 66 78 97 105 214 222 
230,66 88 105 137 138 153 184 
231,15 66 111 115 137 176 181 
232,17 51 66 158 180 186 
233,36 66 70 137 171 184 214 
234,17 53 78 88 105 106 153 
235,17 40 59 66 98 165 184 
236,17 20 66 137 154 171 184 214 222 
237,19 49 53 70 91 105 106 111 
238,66 73 105 126 200 224 226 
239,66 131 135 153 164 184 
240,17 63 66 78 88 105 148 153 
241,2 44 62 66 85 101 153 171 184 
242,17 18 44 49 66 105 181 184 214 222 
243,17 66 78 164 184 226 
244,14 49 66 105 126 200 224 
245,17 66 87 98 103 110 114 171 175 214 222 
246,49 53 106 138 153 164 190 
247,17 66 98 103 114 171 175 214 
248,14 17 32 66 73 97 105 131 153 222 
249,15 17 66 115 135 137 176 189 222 
250,17 49 53 78 106 136 164 222 
251,49 53 106 111 153 164 190 
252,53 66 88 105 137 138 153 
253,53 105 111 138 153 164 181 184 
254,17 53 62 66 105 153 184 222 
255,17 20 47 66 137 148 154 171 176 214 
256,49 66 73 79 105 126 200 214 224 
257,17 25 49 91 99 105 106 143 
258,53 66 88 105 141 153 222 
259,19 49 59 66 91 105 
260,17 66 79 99 100 
261,17 49 78 105 106 
262,18 44 49 53 66 138 153 164 
263,17 19 31 53 78 106 148 222 
264,17 40 53 66 165 184 222 
265,14 44 66 98 111 171 175 184 214 222 
266,49 53 61 105 106 222 
267,17 19 20 62 66 98 105 153 184 
268,17 20 36 62 66 105 153 184 
269,17 19 106 115 176 181 187 
270,49 53 61 78 105 106 
271,17 18 55 66 98 153 171 175 184 193 210 222 
272,17 53 78 106 
273,20 66 70 148 164 184 
274,20 62 66 74 137 153 171 176 184 210 
275,53 66 153 164 184 190 222 
276,66 111 155 164 171 184 
277,17 19 53 66 78 79 117 131 142 148 171 175 184 193 210 222 226 
278,19 59 92 106 151 
279,53 88 105 138 153 
280,17 66 87 98 103 114 148 171 175 214 
281,17 53 66 78 105 183 214 
282,40 66 70 111 137 153 164 184 
283,17 66 99 100 
284,17 51 66 148 158 180 186 
285,17 19 49 53 61 105 106 148 222 
286,19 53 66 78 88 105 131 153 226 
287,17 21 106 110 115 171 176 211 222 
288,17 49 66 105 224 
289,20 47 66 95 105 111 137 153 176 214 
290,14 17 20 48 62 66 98 153 164 171 184 
291,17 49 105 106 137 183 222 
292,53 66 88 105 138 153 
293,19 42 49 53 61 76 105 106 132 148 
294,26 49 65 66 73 105 143 222 
295,66 75 100 111 137 138 176 222 
296,17 62 66 99 111 150 
297,36 44 49 53 66 70 102 105 153 184 222 
298,17 53 66 137 153 164 190 
299,14 53 66 97 105 131 153 
300,17 20 62 66 98 105 153 184 
301,19 49 66 78 105 126 200 224 
302,17 49 53 91 105 106 
303,17 19 51 66 142 148 158 180 
304,44 66 70 111 148 153 164 184 
305,17 18 19 44 53 66 153 164 184 226 
306,52 67 105 113 121 134 153 228 
307,17 53 88 105 106 205 
308,19 49 53 61 105 106 222 
309,14 53 66 109 131 212 226 
310,18 44 53 66 105 153 164 184 
311,17 20 47 66 137 153 171 176 222 
312,20 36 62 66 111 137 153 171 181 184 210 
313,17 66 89 98 110 115 
314,17 53 66 153 164 184 190 
315,17 36 53 62 66 79 105 153 184 
316,19 106 115 176 181 187 
317,17 66 87 89 103 110 115 171 
318,17 18 44 49 66 105 153 184 222 
319,17 53 106 153 171 193 210 217 
320,17 18 66 98 110 153 160 171 184 193 222 
321,66 91 105 137 138 153 
322,11 18 44 66 105 111 153 164 166 181 184 
323,17 20 36 66 137 153 171 184 222 
324,17 53 78 88 105 106 148 153 
325,14 32 66 97 105 153 222 
326,17 66 98 110 131 142 148 196 222 
327,17 19 66 105 137 183 214 222 
328,15 17 66 111 115 137 176 189 
329,17 18 53 66 98 105 153 222 
330,17 20 62 66 98 137 153 171 184 
331,53 105 106 111 153 164 190 
332,17 49 66 78 105 183 214 
333,20 62 66 98 105 131 164 184 222 
334,14 17 44 66 105 131 184 214 
335,17 53 66 100 
336,17 19 66 103 114 171 175 184 214 
337,14 17 18 66 98 105 153 
338,17 32 53 66 78 105 
339,17 19 59 66 100 169 
340,53 66 88 105 137 138 153 222 
341,17 66 98 222 
342,9 20 47 66 105 111 137 153 171 176 
343,17 30 52 79 113 
344,66 88 105 131 141 148 153 222 
345,9 17 20 47 66 95 105 137 153 176 222 
346,19 59 66 92 106 151 
347,17 49 62 66 98 105 133 148 
348,66 113 184 203 222 
349,17 49 66 91 99 105 224 
350,19 53 106 111 138 153 164 190 
351,44 66 171 180 186 203 222 
352,18 19 53 66 137 164 184 194 
353,17 20 62 66 98 137 153 155 164 171 184 
354,36 43 44 66 70 111 137 171 184 
355,53 66 105 153 
356,17 53 88 105 106 205 
357,40 59 66 151 165 222 
358,18 42 49 53 66 76 105 132 
359,17 18 44 49 55 66 98 105 153 222 
360,19 52 95 105 153 
361,66 78 97 105 153 
362,17 20 62 66 78 97 105 184 214 
363,17 32 78 97 105 106 214 
364,17 26 49 53 66 73 91 105 106 148 
365,78 97 105 106 141 205 
366,17 53 88 105 106 153 
367,17 66 98 103 110 114 171 175 214 
368,17 62 66 105 116 137 184 222 
369,18 66 138 153 164 
370,18 44 49 53 66 105 132 153 
371,18 44 49 66 105 153 
372,17 20 62 66 137 153 171 184 
373,49 53 113 153 164 184 190 222 
374,17 53 66 105 153 181 184 222 
375,17 65 66 73 105 222 
376,17 19 59 66 100 169 176 
377,17 20 62 66 98 105 133 153 184 222 
378,19 31 53 106 111 
379,15 66 135 137 176 
380,44 53 66 137 138 153 164 184 190 222 
381,17 18 44 66 105 184 214 222 
382,14 66 70 98 133 153 164 170 184 203 222 
383,17 19 49 53 61 105 106 222 
384,66 100 111 137 138 176 
385,49 53 61 105 106 222 
386,49 65 66 73 105 
387,17 20 62 66 98 137 171 175 184 214 222 
388,6 17 66 111 131 137 148 222 
389,49 53 79 91 105 106 111 
390,66 133 148 171 184 203 206 222 
391,66 150 180 186 203 220 222 
392,17 53 78 88 105 106 205 
393,17 49 53 78 105 106 153 222 
394,36 44 62 66 70 111 133 137 153 164 184 
395,17 20 66 99 105 127 133 170 
396,17 20 36 53 62 66 105 153 181 184 210 222 
397,17 20 62 66 180 184 186 222 
398,66 105 131 133 203 
399,15 17 66 115 137 176 
400,17 49 53 105 106 111 153 
401,15 66 135 137 176 
402,10 15 66 111 115 137 176 
403,17 53 66 153 164 184 190 222 
404,17 49 53 105 106 138 153 190 
405,17 66 115 137 144 171 176 193 
406,19 36 62 66 70 137 153 171 184 
407,19 49 105 106 117 222 
408,9 20 47 66 105 111 137 153 171 176 
409,17 51 66 99 148 158 180 186 
410,17 18 53 66 98 105 116 148 184 
411,17 66 98 103 110 148 175 214 222 
412,17 20 36 66 137 153 171 184 222 
413,17 66 114 131 142 171 175 184 214 
414,19 40 59 66 151 165 184 
415,44 62 66 70 98 153 171 184 210 222 
416,53 106 148 153 164 184 190 222 
417,17 66 87 98 131 148 197 222 
418,19 49 66 70 91 105 111 153 
419,66 88 105 137 138 153 
420,17 18 63 66 98 105 153 160 222 
421,17 66 100 111 137 138 176 222 
422,49 53 78 88 105 106 
423,17 18 66 98 105 110 153 
424,19 59 66 92 151 169 
425,19 66 98 110 114 171 175 214 
426,17 66 105 133 137 153 170 184 222 
427,17 36 44 62 66 133 171 184 214 
428,19 49 53 61 105 106 
429,17 18 44 66 70 153 171 175 184 193 210 222 
430,17 44 66 105 111 184 188 214 222 
431,36 53 62 66 137 153 164 184 222 
432,9 17 20 47 66 137 171 176 184 222 
433,20 66 98 171 186 203 220 222 
434,20 48 66 150 154 159 166 171 184 203 222 
435,17 53 78 88 105 106 153 222 
436,49 53 79 105 106 111 153 226 
437,17 20 47 62 66 98 164 171 
438,53 106 111 137 153 164 190 
439,15 66 135 137 176 
440,19 59 66 133 170 184 
441,17 49 78 105 106 126 224 
442,17 40 59 66 133 165 224 
443,17 53 56 66 137 171 175 176 181 184 193 210 222 
444,53 66 171 193 210 222 
445,14 36 53 66 102 153 164 171 184 222 
446,53 88 105 137 138 153 
447,52 67 105 113 121 138 153 226 228 
448,19 36 49 59 62 66 105 184 
449,40 59 66 133 151 165 
450,17 56 66 137 138 153 171 176 193 210 
451,19 20 47 62 66 137 171 184 
452,17 37 53 81 106 
453,15 66 135 137 176 
454,17 66 87 98 197 212 
455,17 66 98 103 111 171 175 180 222 
456,17 37 53 106 
457,17 18 66 98 105 184 222 
458,66 70 100 111 137 176 
459,44 66 71 79 150 154 171 180 186 203 
460,18 44 66 155 164 184 214 222 
461,44 62 66 137 171 175 184 226 
462,17 18 53 66 98 105 153 
463,17 36 53 62 66 105 153 181 184 
464,17 18 19 53 66 105 131 153 222 
465,17 53 62 66 78 105 153 
466,17 49 53 106 111 153 164 190 
467,19 59 66 92 151 169 
468,17 20 66 95 137 164 171 184 
469,17 53 66 105 133 153 184 
470,42 49 53 62 66 76 105 132 133 148 184 
471,17 66 89 115 137 176 196 
472,17 18 44 66 105 153 
473,17 19 66 98 111 142 226 
474,66 88 105 111 137 138 153 184 
475,53 62 66 133 135 137 153 171 184 
476,17 66 105 224 
477,19 20 62 66 105 137 153 164 184 
478,17 66 89 98 115 
479,19 66 70 105 111 184 214 
480,10 15 66 79 115 137 176 180 226 
481,17 66 105 133 224 
482,19 59 66 151 169 
483,52 66 105 131 178 
484,17 25 49 91 99 105 106 111 143 
485,17 20 62 66 105 137 148 153 205 
486,7 17 66 95 137 171 184 
487,20 62 66 70 111 131 137 153 164 171 176 184 
488,15 66 135 137 176 
489,20 47 62 66 111 137 153 171 176 184 210 
490,17 66 98 101 103 114 171 175 214 
491,19 59 66 100 101 137 169 176 
492,17 33 53 79 106 111 
493,17 53 66 109 171 184 
494,66 119 123 180 
495,49 53 61 105 106 148 
496,11 18 44 66 105 153 164 166 184 
497,2 14 17 44 62 66 85 159 180 186 222 
498,17 20 44 47 62 66 137 164 166 171 184 214 
499,32 66 75 97 105 111 
500,53 66 153 164 184 190 222 
501,66 91 99 111 166 
502,17 19 49 53 106 153 164 181 190 222 
503,17 19 59 66 78 151 169 
504,9 17 20 62 66 131 137 164 171 184 214 222 
505,17 66 87 98 103 148 171 175 214 
506,17 20 36 53 62 66 137 153 164 181 184 222 
507,14 17 55 66 98 133 170 222 
508,17 33 53 106 111 
509,17 20 47 66 137 171 178 222 
510,62 66 98 105 153 184 222 
511,17 25 49 91 99 105 106 111 
512,17 20 66 137 154 164 171 184 214 
513,62 66 77 150 
514,17 37 53 66 
515,17 65 66 73 171 214 217 
516,17 20 56 66 105 137 153 181 184 222 
517,7 53 56 66 137 171 175 184 193 210 222 
518,52 66 103 132 148 164 213 214 
519,6 17 19 106 137 148 222 
520,66 88 105 153 
521,66 70 79 111 115 137 176 189 
522,36 62 66 105 132 133 137 148 153 184 
523,17 20 36 66 105 137 171 181 184 214 222 
524,17 49 53 66 105 222 
525,17 62 66 131 133 137 171 184 214 
526,17 66 99 100 155 
527,17 66 89 115 138 176 196 
528,17 53 66 78 171 177 222 
529,17 20 62 66 98 105 116 166 184 222 
530,20 66 111 137 171 176 184 
531,17 18 44 66 105 135 153 222 
532,17 49 53 105 106 205 222 
533,19 40 59 66 151 165 184 222 
534,19 20 52 66 137 164 184 214 222 
535,17 49 99 105 106 111 183 
536,44 66 71 148 154 171 180 186 
537,66 98 150 180 186 203 220 222 
538,14 17 32 44 49 66 105 183 214 222 
539,19 49 53 66 105 106 153 181 222 
540,36 66 70 111 137 171 184 210 
541,17 36 44 66 79 153 171 184 210 
542,17 51 66 98 148 158 180 186 
543,2 17 19 20 62 66 78 105 137 154 214 
544,62 66 150 
545,2 17 20 62 66 78 137 154 171 184 
546,17 53 66 105 214 222 
547,17 26 49 65 66 73 91 105 143 222 
548,105 106 111 
549,49 53 61 105 106 111 132 
550,17 53 106 153 164 190 222 
551,17 36 62 66 137 148 171 175 184 214 222 226 
552,14 17 18 55 66 87 97 98 105 153 184 188 222 226 
553,17 66 137 148 176 189 
554,17 19 49 66 91 105 111 
555,66 88 105 137 138 153 
556,53 106 111 137 153 164 190 
557,49 91 105 106 126 
558,17 49 53 78 97 105 106 141 153 224 
559,17 20 62 66 105 137 154 214 222 
560,66 91 101 105 138 153 
561,15 66 137 176 
562,17 49 66 76 90 105 111 132 184 222 
563,4 53 66 105 131 153 
564,15 66 72 131 137 176 189 
565,17 59 66 98 105 222 
566,17 49 91 99 105 106 111 
567,18 66 78 98 105 153 184 222 
568,17 20 47 66 137 154 164 166 171 184 
569,17 44 66 184 
570,17 36 44 62 66 133 135 137 153 171 184 222 
571,66 100 111 137 176 
572,18 44 66 101 105 138 153 184 214 
573,17 20 47 66 105 137 153 171 176 222 
574,17 20 52 66 87 99 105 164 171 214 
575,49 66 105 135 153 222 
576,14 17 66 115 171 176 177 222 
577,49 53 106 138 153 164 190 222 
578,66 111 137 144 171 176 193 
579,14 66 73 105 224 
580,17 66 98 103 131 148 171 175 222 
581,17 53 106 138 153 164 190 222 
582,14 66 91 99 131 166 218 
583,15 66 135 137 176 
584,25 27 39 99 106 
585,15 66 111 115 137 176 
586,17 66 98 133 170 184 222 
587,19 51 66 158 180 186 
588,17 44 62 66 85 105 133 153 184 
589,17 20 62 66 98 153 164 171 184 222 
590,44 66 70 95 105 111 137 184 214 222 
591,49 53 78 88 105 106 
592,17 18 53 66 105 153 164 184 
593,17 66 87 98 103 110 148 171 175 222 
594,17 19 49 53 105 106 
595,14 55 66 98 105 184 188 214 222 
596,17 49 53 106 130 136 164 181 222 
597,49 53 78 88 105 106 
598,19 20 36 62 66 105 153 184 
599,17 18 44 49 66 105 153 222 
600,37 53 66 75 111 137 184 201 
601,19 66 95 153 164 171 184 
602,17 53 56 66 137 164 166 184 222 
603,19 66 98 119 
604,66 100 111 137 138 148 176 
605,17 18 66 72 98 105 153 184 222 
606,36 62 66 70 111 133 137 153 171 184 
607,17 26 49 53 66 73 105 143 222 
608,4 79 93 106 137 153 164 176 
609,17 66 133 137 148 170 184 
610,17 66 78 100 137 176 227 
611,17 49 78 105 106 183 
612,15 17 66 115 135 137 176 
613,14 49 66 97 105 132 224 
614,30 65 66 73 105 222 
615,20 47 66 105 137 148 153 176 
616,20 47 62 66 105 111 137 153 176 184 
617,15 66 111 137 176 189 
618,17 20 66 98 103 114 171 175 214 
619,18 44 66 98 105 128 153 222 
620,17 20 47 66 98 103 110 114 171 175 214 
621,53 66 137 153 164 184 222 
622,49 53 61 78 105 106 
623,17 36 43 66 116 137 171 180 184 222 
624,17 66 87 98 148 212 222 
625,52 66 148 164 171 175 222 
626,32 66 79 97 105 184 222 226 
627,17 32 97 105 106 205 
628,66 88 105 111 137 138 153 
629,17 66 98 99 103 124 171 175 214 
630,17 53 66 153 164 184 190 
631,17 66 98 103 110 114 142 148 171 175 214 
632,17 53 66 97 105 148 153 
633,19 66 95 137 171 175 181 184 
634,17 25 49 91 99 105 106 111 126 192 
635,66 78 88 105 141 153 
636,17 26 49 53 91 105 106 143 205 222 
637,17 53 105 106 138 153 190 
638,17 53 78 88 105 106 148 205 
639,36 62 66 79 133 137 153 171 184 
640,49 53 105 106 153 190 222 
641,17 44 66 131 133 148 170 171 184 222 
642,53 106 138 153 164 184 190 214 222 
643,66 100 111 131 137 138 176 
644,49 53 78 88 105 106 205 
645,44 66 71 98 133 148 164 171 184 
646,17 66 78 97 105 153 205 
647,36 53 62 66 70 137 153 171 184 222 
648,53 106 212 
649,49 53 61 105 106 181 
650,15 66 135 137 176 181 
651,17 20 47 62 66 137 171 184 
652,17 20 62 66 79 98 153 171 184 222 
653,17 36 44 66 133 137 171 184 
654,53 66 153 164 184 222 
655,17 49 53 78 88 91 105 106 205 
656,17 19 59 66 100 169 
657,17 53 66 88 105 141 153 
658,53 101 106 111 137 138 153 164 171 190 193 217 
659,66 74 91 105 137 138 153 
660,17 78 105 106 183 214 
661,63 66 97 105 141 153 
662,17 59 66 105 106 
663,17 66 98 103 114 171 175 214 222 
664,17 20 47 66 105 122 137 153 176 222 
665,15 17 66 98 111 137 176 189 222 
666,7 19 66 95 137 171 175 184 214 
667,18 53 66 78 105 141 153 
668,17 36 44 62 66 153 164 171 181 184 222 
669,17 51 66 99 180 
670,17 53 105 106 
671,53 66 95 105 153 164 184 222 
672,17 66 88 105 137 138 153 
673,19 49 91 105 106 111 
674,17 53 78 106 153 171 193 210 211 217 222 
675,20 62 66 98 105 205 222 
676,17 20 53 62 66 116 137 164 166 184 222 
677,17 26 53 66 73 79 105 143 148 222 
678,15 66 135 137 176 
679,14 17 32 66 97 105 148 153 
680,49 53 78 105 106 214 222 
681,17 18 44 66 85 153 171 184 217 222 
682,17 53 66 133 137 170 184 
683,17 18 53 66 105 116 137 181 222 
684,17 19 79 111 117 131 148 222 
685,49 53 105 106 111 153 
686,11 17 18 53 66 78 105 131 153 164 184 222 
687,17 66 89 100 110 115 137 176 
688,17 19 20 53 62 66 105 142 153 181 184 
689,20 47 66 105 111 137 153 176 
690,17 66 88 105 138 153 
691,17 20 47 62 66 98 153 171 184 
692,15 66 101 115 137 176 226 
693,17 66 87 100 151 
694,17 19 66 115 131 137 148 176 227 
695,17 53 78 81 106 
696,14 66 98 105 184 214 222 
697,17 20 47 62 66 98 105 110 153 
698,9 62 66 115 117 137 171 176 180 
699,17 66 95 137 171 175 184 214 222 
700,66 133 137 148 153 170 176 
701,66 100 101 111 137 138 142 176 
702,19 97 105 106 148 153 
703,19 36 44 62 66 140 153 164 184 
704,19 49 53 61 105 106 222 
705,17 66 111 115 137 171 176 184 189 214 
706,15 66 101 111 115 137 176 189 
707,17 49 105 106 111 183 
708,17 19 36 53 62 66 105 133 137 153 184 
709,19 53 66 78 88 105 131 153 184 
710,53 66 78 137 171 175 184 193 210 
711,14 66 78 105 131 141 153 
712,15 66 111 115 137 176 189 
713,17 20 62 66 98 137 153 171 184 
714,17 49 66 91 99 105 224 
715,19 32 66 97 105 214 
716,17 66 98 110 114 142 171 175 214 
717,14 53 66 109 131 135 
718,17 18 53 66 98 105 153 222 
719,17 66 115 137 144 171 176 193 
720,17 25 49 91 99 105 106 111 
721,42 49 53 76 105 106 132 148 
722,14 17 53 66 98 222 
723,17 53 78 88 105 106 138 153 
724,18 44 49 66 105 135 153 184 222 
725,17 66 90 100 137 222 
726,17 66 115 137 171 176 189 214 222 
727,40 59 66 151 165 184 
728,66 70 111 115 137 176 189 
729,14 53 66 109 131 135 
730,7 17 53 66 78 171 175 193 222 
731,39 99 106 
732,66 101 137 171 175 193 
733,17 66 87 98 103 171 175 222 
734,17 66 115 119 137 171 176 
735,17 19 79 97 105 106 141 148 153 
736,17 20 36 53 62 66 78 105 137 153 184 
737,19 59 92 106 151 
738,17 18 44 66 171 175 184 193 210 217 222 
739,17 37 53 66 201 222 
740,17 53 66 88 105 153 
741,49 66 78 105 126 224 
742,17 51 66 111 158 180 186 
743,9 20 62 66 75 111 137 171 181 184 
744,17 52 66 133 148 164 
745,17 44 62 66 98 153 171 184 222 
746,17 66 171 175 184 193 210 222 
747,17 19 20 36 53 62 66 78 79 137 153 171 184 210 
748,17 53 106 138 153 164 190 
749,17 25 49 91 99 105 106 111 143 
750,17 20 66 98 131 153 171 184 222 
751,17 18 44 56 66 98 105 153 164 184 222 
752,18 44 66 98 105 148 164 166 184 
753,14 17 53 66 89 115 196 
754,17 66 98 103 148 214 
755,14 17 20 62 66 78 105 131 214 
756,17 49 53 78 105 106 222 
757,17 20 47 66 105 154 166 171 
758,17 26 53 66 73 105 143 222 
759,17 51 66 158 180 186 222 
760,18 44 49 66 101 105 138 153 
761,17 18 44 49 66 111 132 148 171 184 193 
762,17 49 53 78 106 111 171 217 
763,17 66 91 99 101 166 
764,15 66 79 111 115 117 137 176 189 226 
